scope,mb,n_docs,beta_corr,no_report_reason,r2,fit_lo,fit_hi,ci_lag,ci_doc_block,broken_adopted,n_break,beta_short,beta_long,peaks,beta_fro,withhold,comp_cov_op,H1,H2,H4,H6
lean,134.4,11635,0.6447,,0.9768,1,2566,"[0.593775367079178, 0.6877425660192428]","[0.627767313442432, 0.6525249354440141]",True,1074,0.6041,1.4946,"[2, 336, 450, 601, 1919, 2566]",0.6454,False,7.116e-04,5.3492,4.0433,2.2308,1.4859
lean__csupport,110.8,5069,0.6268,,0.9767,1,2566,"[0.5800485217118301, 0.668378556558095]","[0.6102967103673115, 0.6363608939653627]",True,1436,0.601,1.7084,"[2, 3, 4, 79, 105, 336, 450, 601, 804, 1919, 2566]",0.6272,False,6.023e-04,5.3537,4.0342,2.2291,1.4827
lean__matched,54.4,4685,0.643,,0.9782,1,2566,"[0.59521323068196, 0.6846466361603994]","[0.6125085899663585, 0.6488489983268148]",True,804,0.5993,1.1898,"[2, 336, 450, 601, 1919, 2566]",0.6333,False,7.515e-04,5.3517,4.0425,2.2134,1.4337
lean/lean4,28.9,2520,0.58,,0.9682,1,1919,"[0.5344137651129436, 0.6204676059363234]","[0.5540814204744077, 0.5933245835492776]",True,9,0.8144,0.5431,"[2, 3, 4, 6, 79, 188, 252, 336, 1919]",0.5807,False,8.807e-04,5.2019,3.9603,2.0319,1.2711
lean/mathlib4,97.1,8308,0.6438,,0.9781,1,1919,"[0.5989051845018148, 0.6929383860556103]","[0.6293198826438642, 0.6503614621104448]",True,1074,0.6124,1.8556,"[2, 4, 450, 601, 1919]",0.6551,False,6.322e-04,5.3747,3.9987,2.143,1.4417
lean/physlib,7.2,622,0.5236,,0.9258,1,1436,"[0.464438555429015, 0.5798984737771959]","[0.4934968192048571, 0.5428364400529089]",True,13,0.8924,0.4261,"[2, 3, 4]",0.5392,False,1.220e-03,5.3736,3.9538,1.9107,1.108
python,54.3,3224,0.4652,,0.7098,1,8192,"[0.37224514298955663, 0.5479527712592628]","[0.3896763893507166, 0.5297765917292282]",True,13,1.3837,0.3328,,0.447,False,2.747e-03,4.7099,3.6474,2.0708,1.4001
python__csupport,49.2,1515,0.4597,,0.7009,1,8192,"[0.366487356435069, 0.5424464523738272]","[0.3923735473615748, 0.5160974761212173]",True,13,1.3835,0.3265,,0.4424,False,2.732e-03,4.7014,3.6333,2.0579,1.3892
python__matched,54.3,3224,0.4652,,0.7098,1,8192,"[0.37224514298955663, 0.5479527712592628]","[0.3971885017986112, 0.5281145612347179]",True,13,1.3837,0.3328,,0.447,False,2.747e-03,4.7099,3.6474,2.0708,1.4001
python/ase,5.6,516,0.4949,,0.778,1,8192,"[0.4113415002756303, 0.5746943020191146]","[0.3742471767397739, 0.5551331631191958]",True,12,1.2615,0.3933,,0.4525,False,2.984e-03,4.6141,3.4795,1.8395,1.1732
