cell,variant,model,corpus,kind,quantitative,unmatched,n_windows,n_docs,bpb,gain,gain_ci,c_hat,fit_accepted,beta,Linf,beta_ci,fit_reason
q25c-0.5b__geant4__clean_c2024_11,main,q25c-0.5b,geant4,clean_c2024_11,False,False,3,40,0.1989,,,,False,,,,cell below quantitative floors (w=3 d=40)
q25c-0.5b__geant4__full_shuffled,main,q25c-0.5b,geant4,full_shuffled,True,False,21,342,0.3225,0.6278133954600653,"[0.48525074792676853, 0.7856318755498114]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__geant4__full_topo,main,q25c-0.5b,geant4,full_topo,True,False,21,342,0.2994,0.6729591824221051,"[0.4931937782536682, 0.8751740251125597]",46340.95001184158,False,,,,failed frozen holdout gate
q25c-0.5b__geant4__full_topo,masked_c2024_11,q25c-0.5b,geant4,full_topo,False,False,6,8,0.2516,,,,False,,,,cell below quantitative floors (w=6 d=8)
q25c-0.5b__geant4__full_topo,masked_c2025_04,q25c-0.5b,geant4,full_topo,False,False,5,7,0.2458,,,,False,,,,cell below quantitative floors (w=5 d=7)
q25c-0.5b__geant4__full_topo,masked_c2026_02,q25c-0.5b,geant4,full_topo,False,False,1,1,0.3624,,,,False,,,,cell below quantitative floors (w=1 d=1)
q25c-0.5b__geant4__full_topo__perdoc,main,q25c-0.5b,geant4,full_topo__perdoc,True,False,342,342,0.3282,-0.2745128954462775,"[-0.7008844733584506, -0.0740480704733021]",23170.47500592079,False,,,,non-contiguous valid-bin support
q25c-0.5b__geant4__full_topo__perdoc,masked_c2024_11,q25c-0.5b,geant4,full_topo__perdoc,False,False,8,8,0.2707,-0.036746558868609,,181.01933598375618,False,,,,cell below quantitative floors (w=8 d=8)
q25c-0.5b__geant4__full_topo__perdoc,masked_c2025_04,q25c-0.5b,geant4,full_topo__perdoc,False,False,7,7,0.2656,,,,False,,,,cell below quantitative floors (w=7 d=7)
q25c-0.5b__geant4__full_topo__perdoc,masked_c2026_02,q25c-0.5b,geant4,full_topo__perdoc,False,False,1,1,0.3738,,,,False,,,,cell below quantitative floors (w=1 d=1)
q25c-0.5b__geant4__full_topo__ph16384,main,q25c-0.5b,geant4,full_topo__ph16384,True,False,21,327,0.3022,0.7133112607244021,"[0.5292250994637867, 0.8870993229654254]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__geant4__full_topo__ph16384,masked_c2024_11,q25c-0.5b,geant4,full_topo__ph16384,False,False,5,8,0.2424,,,,False,,,,cell below quantitative floors (w=5 d=8)
q25c-0.5b__geant4__full_topo__ph16384,masked_c2025_04,q25c-0.5b,geant4,full_topo__ph16384,False,False,4,7,0.2359,,,,False,,,,cell below quantitative floors (w=4 d=7)
q25c-0.5b__geant4__full_topo__ph16384,masked_c2026_02,q25c-0.5b,geant4,full_topo__ph16384,False,False,1,1,0.3634,,,,False,,,,cell below quantitative floors (w=1 d=1)
q25c-0.5b__geant4__full_topo__ph24576,main,q25c-0.5b,geant4,full_topo__ph24576,True,False,21,322,0.3042,0.5897324021156362,"[0.41237233393922573, 0.7644761382713628]",5792.618751480198,False,,,,failed frozen holdout gate
q25c-0.5b__geant4__full_topo__ph24576,masked_c2024_11,q25c-0.5b,geant4,full_topo__ph24576,False,False,6,8,0.2584,,,,False,,,,cell below quantitative floors (w=6 d=8)
q25c-0.5b__geant4__full_topo__ph24576,masked_c2025_04,q25c-0.5b,geant4,full_topo__ph24576,False,False,5,7,0.2528,,,,False,,,,cell below quantitative floors (w=5 d=7)
q25c-0.5b__geant4__full_topo__ph24576,masked_c2026_02,q25c-0.5b,geant4,full_topo__ph24576,False,False,1,1,0.3638,,,,False,,,,cell below quantitative floors (w=1 d=1)
q25c-0.5b__geant4__full_topo__ph8192,main,q25c-0.5b,geant4,full_topo__ph8192,True,False,21,333,0.3001,0.6378270041578276,"[0.4868606868345714, 0.7822549076891769]",11585.237502960395,False,,,,failed frozen holdout gate
q25c-0.5b__geant4__full_topo__ph8192,masked_c2024_11,q25c-0.5b,geant4,full_topo__ph8192,False,False,5,8,0.243,,,,False,,,,cell below quantitative floors (w=5 d=8)
q25c-0.5b__geant4__full_topo__ph8192,masked_c2025_04,q25c-0.5b,geant4,full_topo__ph8192,False,False,4,7,0.2366,,,,False,,,,cell below quantitative floors (w=4 d=7)
q25c-0.5b__geant4__full_topo__ph8192,masked_c2026_02,q25c-0.5b,geant4,full_topo__ph8192,False,False,1,1,0.3648,,,,False,,,,cell below quantitative floors (w=1 d=1)
q25c-0.5b__geant4__full_topo_s2,main,q25c-0.5b,geant4,full_topo_s2,True,False,22,337,0.2844,0.645603598175005,"[0.4620075654433166, 0.8698568925534067]",5792.618751480198,False,,,,failed frozen holdout gate
